Update Date and Time (ISO),Update Duration (ms),Reading Date and Time (ISO),Air pressure (mb),Air temperature (C),Sea temperature (C),Tide height (m),Visibility (nm),Wind direction (deg),Wind gust speed (kn),Wind speed (kn)
2007-08-17T22:33:34,1750,2007-08-17T22:25:00,1016.00,16.80,18.70,2.40,22.00,223.00,15.60,14.90
2007-08-17T22:34:34,94,2007-08-17T22:25:00,1016.00,16.80,18.70,2.40,22.00,223.00,15.60,14.90
2007-08-17T22:35:34,110,2007-08-17T22:25:00,1016.00,16.80,18.70,2.40,22.00,223.00,15.60,14.90
2007-08-17T22:36:34,109,2007-08-17T22:25:00,1016.00,16.80,18.70,2.40,22.00,223.00,15.60,14.90
2007-08-17T22:37:34,93,2007-08-17T22:30:00,1017.00,16.70,18.70,2.40,22.00,231.00,18.00,15.00
2007-08-17T22:38:34,94,2007-08-17T22:30:00,1017.00,16.70,18.70,2.40,22.00,231.00,18.00,15.00
2007-08-17T22:39:34,94,2007-08-17T22:30:00,1017.00,16.70,18.70,2.40,22.00,231.00,18.00,15.00
2007-08-17T22:40:34,110,2007-08-17T22:30:00,1017.00,16.70,18.70,2.40,22.00,231.00,18.00,15.00
2007-08-17T22:41:34,110,2007-08-17T22:30:00,1017.00,16.70,18.70,2.40,22.00,231.00,18.00,15.00
2007-08-17T22:42:34,94,2007-08-17T22:35:00,1017.00,16.70,18.70,2.50,22.00,233.00,18.70,16.10
2007-08-17T22:43:34,93,2007-08-17T22:35:00,1017.00,16.70,18.70,2.50,22.00,233.00,18.70,16.10
2007-08-17T22:44:34,78,2007-08-17T22:35:00,1017.00,16.70,18.70,2.50,22.00,233.00,18.70,16.10
2007-08-17T22:45:34,78,2007-08-17T22:35:00,1017.00,16.70,18.70,2.50,22.00,233.00,18.70,16.10
2007-08-17T22:46:34,94,2007-08-17T22:35:00,1017.00,16.70,18.70,2.50,22.00,233.00,18.70,16.10
2007-08-17T22:47:34,125,2007-08-17T22:40:00,1017.00,16.90,18.70,2.50,22.00,235.00,19.10,15.50
2007-08-17T22:48:34,141,2007-08-17T22:40:00,1017.00,16.90,18.70,2.50,22.00,235.00,19.10,15.50
2007-08-17T22:49:34,94,2007-08-17T22:40:00,1017.00,16.90,18.70,2.50,22.00,235.00,19.10,15.50
2007-08-17T22:50:34,93,2007-08-17T22:40:00,1017.00,16.90,18.70,2.50,22.00,235.00,19.10,15.50
2007-08-17T22:51:34,94,2007-08-17T22:40:00,1017.00,16.90,18.70,2.50,22.00,235.00,19.10,15.50
2007-08-17T22:52:34,94,2007-08-17T22:45:00,1017.00,16.80,18.70,2.50,22.00,234.00,18.60,15.30
2007-08-17T22:53:34,109,2007-08-17T22:45:00,1017.00,16.80,18.70,2.50,22.00,234.00,18.60,15.30
2007-08-17T22:54:34,94,2007-08-17T22:45:00,1017.00,16.80,18.70,2.50,22.00,234.00,18.60,15.30
2007-08-17T22:55:34,94,2007-08-17T22:45:00,1017.00,16.80,18.70,2.50,22.00,234.00,18.60,15.30
2007-08-17T22:56:34,78,2007-08-17T22:45:00,1017.00,16.80,18.70,2.50,22.00,234.00,18.60,15.30
2007-08-17T22:57:34,93,2007-08-17T22:50:00,1016.00,16.70,18.70,2.50,22.00,232.00,17.70,14.40
2007-08-17T22:58:34,78,2007-08-17T22:50:00,1016.00,16.70,18.70,2.50,22.00,232.00,17.70,14.40
2007-08-17T22:59:34,78,2007-08-17T22:50:00,1016.00,16.70,18.70,2.50,22.00,232.00,17.70,14.40
2007-08-17T23:00:34,78,2007-08-17T22:50:00,1016.00,16.70,18.70,2.50,22.00,232.00,17.70,14.40
2007-08-17T23:01:34,78,2007-08-17T22:50:00,1016.00,16.70,18.70,2.50,22.00,232.00,17.70,14.40
2007-08-17T23:02:34,79,2007-08-17T22:50:00,1016.00,16.70,18.70,2.50,22.00,232.00,17.70,14.40
2007-08-17T23:03:34,78,2007-08-17T22:50:00,1016.00,16.70,18.70,2.50,22.00,232.00,17.70,14.40
2007-08-17T23:04:34,94,2007-08-17T22:50:00,1016.00,16.70,18.70,2.50,22.00,232.00,17.70,14.40
2007-08-17T23:05:34,94,2007-08-17T22:50:00,1016.00,16.70,18.70,2.50,22.00,232.00,17.70,14.40
2007-08-17T23:06:34,78,2007-08-17T22:50:00,1016.00,16.70,18.70,2.50,22.00,232.00,17.70,14.40
2007-08-17T23:07:34,94,2007-08-17T23:00:00,1016.00,16.40,18.70,2.50,22.00,216.00,13.90,12.50
2007-08-17T23:08:34,79,2007-08-17T23:00:00,1016.00,16.40,18.70,2.50,22.00,216.00,13.90,12.50
2007-08-17T23:09:34,78,2007-08-17T23:00:00,1016.00,16.40,18.70,2.50,22.00,216.00,13.90,12.50
2007-08-17T23:10:34,78,2007-08-17T23:00:00,1016.00,16.40,18.70,2.50,22.00,216.00,13.90,12.50
2007-08-17T23:11:34,79,2007-08-17T23:00:00,1016.00,16.40,18.70,2.50,22.00,216.00,13.90,12.50
2007-08-17T23:12:34,78,2007-08-17T23:05:00,1016.00,16.40,18.70,2.50,22.00,216.00,13.90,12.20
2007-08-17T23:13:34,78,2007-08-17T23:05:00,1016.00,16.40,18.70,2.50,22.00,216.00,13.90,12.20
2007-08-17T23:14:34,78,2007-08-17T23:05:00,1016.00,16.40,18.70,2.50,22.00,216.00,13.90,12.20
2007-08-17T23:15:34,78,2007-08-17T23:05:00,1016.00,16.40,18.70,2.50,22.00,216.00,13.90,12.20
2007-08-17T23:16:34,94,2007-08-17T23:05:00,1016.00,16.40,18.70,2.50,22.00,216.00,13.90,12.20
2007-08-17T23:17:34,79,2007-08-17T23:10:00,1016.00,16.30,18.70,2.50,22.00,216.00,14.40,12.30
2007-08-17T23:18:34,78,2007-08-17T23:10:00,1016.00,16.30,18.70,2.50,22.00,216.00,14.40,12.30
2007-08-17T23:19:34,93,2007-08-17T23:10:00,1016.00,16.30,18.70,2.50,22.00,216.00,14.40,12.30
2007-08-17T23:20:34,125,2007-08-17T23:10:00,1016.00,16.30,18.70,2.50,22.00,216.00,14.40,12.30
2007-08-17T23:21:34,78,2007-08-17T23:10:00,1016.00,16.30,18.70,2.50,22.00,216.00,14.40,12.30
2007-08-17T23:22:34,94,2007-08-17T23:20:00,1016.00,16.30,18.70,2.60,22.00,222.00,14.70,12.30
2007-08-17T23:23:34,78,2007-08-17T23:20:00,1016.00,16.30,18.70,2.60,22.00,222.00,14.70,12.30
2007-08-17T23:24:34,79,2007-08-17T23:20:00,1016.00,16.30,18.70,2.60,22.00,222.00,14.70,12.30
2007-08-17T23:25:34,78,2007-08-17T23:20:00,1016.00,16.30,18.70,2.60,22.00,222.00,14.70,12.30
2007-08-17T23:26:34,93,2007-08-17T23:20:00,1016.00,16.30,18.70,2.60,22.00,222.00,14.70,12.30
2007-08-17T23:27:34,78,2007-08-17T23:20:00,1016.00,16.30,18.70,2.60,22.00,222.00,14.70,12.30
2007-08-17T23:28:34,94,2007-08-17T23:20:00,1016.00,16.30,18.70,2.60,22.00,222.00,14.70,12.30
2007-08-17T23:29:34,78,2007-08-17T23:20:00,1016.00,16.30,18.70,2.60,22.00,222.00,14.70,12.30
2007-08-17T23:30:34,78,2007-08-17T23:20:00,1016.00,16.30,18.70,2.60,22.00,222.00,14.70,12.30
2007-08-17T23:31:34,78,2007-08-17T23:20:00,1016.00,16.30,18.70,2.60,22.00,222.00,14.70,12.30
2007-08-17T23:32:34,78,2007-08-17T23:25:00,1016.00,16.50,18.70,2.60,20.00,230.00,18.00,15.00
2007-08-17T23:33:34,94,2007-08-17T23:25:00,1016.00,16.50,18.70,2.60,20.00,230.00,18.00,15.00
2007-08-17T23:34:34,109,2007-08-17T23:25:00,1016.00,16.50,18.70,2.60,20.00,230.00,18.00,15.00
2007-08-17T23:35:34,78,2007-08-17T23:25:00,1016.00,16.50,18.70,2.60,20.00,230.00,18.00,15.00
2007-08-17T23:36:34,78,2007-08-17T23:25:00,1016.00,16.50,18.70,2.60,20.00,230.00,18.00,15.00
2007-08-17T23:37:34,78,2007-08-17T23:30:00,1016.00,16.40,18.70,2.60,20.00,227.00,16.80,14.30
2007-08-17T23:38:34,78,2007-08-17T23:30:00,1016.00,16.40,18.70,2.60,20.00,227.00,16.80,14.30
2007-08-17T23:39:34,94,2007-08-17T23:30:00,1016.00,16.40,18.70,2.60,20.00,227.00,16.80,14.30
2007-08-17T23:40:34,235,2007-08-17T23:30:00,1016.00,16.40,18.70,2.60,20.00,227.00,16.80,14.30
2007-08-17T23:41:34,78,2007-08-17T23:30:00,1016.00,16.40,18.70,2.60,20.00,227.00,16.80,14.30
2007-08-17T23:42:34,78,2007-08-17T23:40:00,1016.00,16.20,18.70,2.70,20.00,220.00,15.90,13.60
2007-08-17T23:43:34,78,2007-08-17T23:40:00,1016.00,16.20,18.70,2.70,20.00,220.00,15.90,13.60
2007-08-17T23:44:34,94,2007-08-17T23:40:00,1016.00,16.20,18.70,2.70,20.00,220.00,15.90,13.60
2007-08-17T23:45:34,78,2007-08-17T23:40:00,1016.00,16.20,18.70,2.70,20.00,220.00,15.90,13.60
2007-08-17T23:46:34,79,2007-08-17T23:40:00,1016.00,16.20,18.70,2.70,20.00,220.00,15.90,13.60
2007-08-17T23:47:34,78,2007-08-17T23:45:00,1016.00,16.20,18.70,2.70,20.00,220.00,15.70,13.90
2007-08-17T23:48:34,78,2007-08-17T23:45:00,1016.00,16.20,18.70,2.70,20.00,220.00,15.70,13.90
2007-08-17T23:49:34,94,2007-08-17T23:45:00,1016.00,16.20,18.70,2.70,20.00,220.00,15.70,13.90
2007-08-17T23:50:34,78,2007-08-17T23:45:00,1016.00,16.20,18.70,2.70,20.00,220.00,15.70,13.90
2007-08-17T23:51:34,94,2007-08-17T23:45:00,1016.00,16.20,18.70,2.70,20.00,220.00,15.70,13.90
2007-08-17T23:52:34,78,2007-08-17T23:45:00,1016.00,16.20,18.70,2.70,20.00,220.00,15.70,13.90
2007-08-17T23:53:34,94,2007-08-17T23:45:00,1016.00,16.20,18.70,2.70,20.00,220.00,15.70,13.90
2007-08-17T23:54:34,78,2007-08-17T23:45:00,1016.00,16.20,18.70,2.70,20.00,220.00,15.70,13.90
2007-08-17T23:55:34,78,2007-08-17T23:45:00,1016.00,16.20,18.70,2.70,20.00,220.00,15.70,13.90
2007-08-17T23:56:34,94,2007-08-17T23:45:00,1016.00,16.20,18.70,2.70,20.00,220.00,15.70,13.90
2007-08-17T23:57:34,94,2007-08-17T23:50:00,1016.00,16.30,18.70,2.70,20.00,222.00,16.90,14.30
2007-08-17T23:58:34,78,2007-08-17T23:50:00,1016.00,16.30,18.70,2.70,20.00,222.00,16.90,14.30
2007-08-17T23:59:34,94,2007-08-17T23:50:00,1016.00,16.30,18.70,2.70,20.00,222.00,16.90,14.30
2007-08-18T00:00:34,78,2007-08-17T23:50:00,1016.00,16.30,18.70,2.70,20.00,222.00,16.90,14.30
2007-08-18T00:01:34,78,2007-08-17T23:50:00,1016.00,16.30,18.70,2.70,20.00,222.00,16.90,14.30
2007-08-18T00:02:34,94,2007-08-18T00:00:00,1016.00,16.30,18.70,2.80,20.00,220.00,15.80,13.00
2007-08-18T00:03:34,93,2007-08-18T00:00:00,1016.00,16.30,18.70,2.80,20.00,220.00,15.80,13.00
2007-08-18T00:04:34,94,2007-08-18T00:00:00,1016.00,16.30,18.70,2.80,20.00,220.00,15.80,13.00
2007-08-18T00:05:34,94,2007-08-18T00:00:00,1016.00,16.30,18.70,2.80,20.00,220.00,15.80,13.00
2007-08-18T00:06:34,78,2007-08-18T00:00:00,1016.00,16.30,18.70,2.80,20.00,220.00,15.80,13.00
2007-08-18T00:07:34,78,2007-08-18T00:00:00,1016.00,16.30,18.70,2.80,20.00,220.00,15.80,13.00
2007-08-18T00:08:34,79,2007-08-18T00:00:00,1016.00,16.30,18.70,2.80,20.00,220.00,15.80,13.00
2007-08-18T00:09:34,93,2007-08-18T00:00:00,1016.00,16.30,18.70,2.80,20.00,220.00,15.80,13.00
2007-08-18T00:10:34,78,2007-08-18T00:00:00,1016.00,16.30,18.70,2.80,20.00,220.00,15.80,13.00
2007-08-18T00:11:34,94,2007-08-18T00:00:00,1016.00,16.30,18.70,2.80,20.00,220.00,15.80,13.00
2007-08-18T00:12:34,94,2007-08-18T00:10:00,1016.00,16.30,18.70,2.90,22.00,218.00,15.40,13.90
2007-08-18T00:13:34,94,2007-08-18T00:10:00,1016.00,16.30,18.70,2.90,22.00,218.00,15.40,13.90
2007-08-18T00:14:34,78,2007-08-18T00:10:00,1016.00,16.30,18.70,2.90,22.00,218.00,15.40,13.90
2007-08-18T00:15:34,94,2007-08-18T00:10:00,1016.00,16.30,18.70,2.90,22.00,218.00,15.40,13.90
2007-08-18T00:16:34,78,2007-08-18T00:10:00,1016.00,16.30,18.70,2.90,22.00,218.00,15.40,13.90
2007-08-18T00:17:34,93,2007-08-18T00:10:00,1016.00,16.30,18.70,2.90,22.00,218.00,15.40,13.90
2007-08-18T00:18:34,94,2007-08-18T00:10:00,1016.00,16.30,18.70,2.90,22.00,218.00,15.40,13.90
2007-08-18T00:19:34,94,2007-08-18T00:10:00,1016.00,16.30,18.70,2.90,22.00,218.00,15.40,13.90
2007-08-18T00:20:34,94,2007-08-18T00:10:00,1016.00,16.30,18.70,2.90,22.00,218.00,15.40,13.90
2007-08-18T00:21:34,78,2007-08-18T00:10:00,1016.00,16.30,18.70,2.90,22.00,218.00,15.40,13.90
2007-08-18T00:22:34,93,2007-08-18T00:15:00,1016.00,16.30,18.70,3.00,20.00,219.00,15.90,13.30
2007-08-18T00:23:34,78,2007-08-18T00:15:00,1016.00,16.30,18.70,3.00,20.00,219.00,15.90,13.30
2007-08-18T00:24:34,94,2007-08-18T00:15:00,1016.00,16.30,18.70,3.00,20.00,219.00,15.90,13.30
2007-08-18T00:25:34,94,2007-08-18T00:15:00,1016.00,16.30,18.70,3.00,20.00,219.00,15.90,13.30
2007-08-18T00:26:34,94,2007-08-18T00:15:00,1016.00,16.30,18.70,3.00,20.00,219.00,15.90,13.30
2007-08-18T00:27:34,94,2007-08-18T00:20:00,1016.00,16.30,18.70,3.00,20.00,218.00,13.90,12.40
2007-08-18T00:28:34,79,2007-08-18T00:20:00,1016.00,16.30,18.70,3.00,20.00,218.00,13.90,12.40
2007-08-18T00:29:34,93,2007-08-18T00:20:00,1016.00,16.30,18.70,3.00,20.00,218.00,13.90,12.40
2007-08-18T00:30:34,93,2007-08-18T00:20:00,1016.00,16.30,18.70,3.00,20.00,218.00,13.90,12.40
2007-08-18T00:31:34,94,2007-08-18T00:20:00,1016.00,16.30,18.70,3.00,20.00,218.00,13.90,12.40
2007-08-18T00:32:34,78,2007-08-18T00:30:00,1016.00,16.30,18.60,3.10,22.00,216.00,14.50,13.10
2007-08-18T00:33:34,78,2007-08-18T00:30:00,1016.00,16.30,18.60,3.10,22.00,216.00,14.50,13.10
2007-08-18T00:34:34,94,2007-08-18T00:30:00,1016.00,16.30,18.60,3.10,22.00,216.00,14.50,13.10
2007-08-18T00:35:34,79,2007-08-18T00:30:00,1016.00,16.30,18.60,3.10,22.00,216.00,14.50,13.10
2007-08-18T00:36:34,78,2007-08-18T00:30:00,1016.00,16.30,18.60,3.10,22.00,216.00,14.50,13.10
2007-08-18T00:37:34,94,2007-08-18T00:30:00,1016.00,16.30,18.60,3.10,22.00,216.00,14.50,13.10
2007-08-18T00:38:34,78,2007-08-18T00:30:00,1016.00,16.30,18.60,3.10,22.00,216.00,14.50,13.10
2007-08-18T00:39:34,109,2007-08-18T00:30:00,1016.00,16.30,18.60,3.10,22.00,216.00,14.50,13.10
2007-08-18T00:40:34,110,2007-08-18T00:30:00,1016.00,16.30,18.60,3.10,22.00,216.00,14.50,13.10
2007-08-18T00:41:34,94,2007-08-18T00:30:00,1016.00,16.30,18.60,3.10,22.00,216.00,14.50,13.10
2007-08-18T00:42:34,93,2007-08-18T00:35:00,1016.00,16.40,18.60,3.20,22.00,214.00,13.70,11.70
2007-08-18T00:43:34,93,2007-08-18T00:35:00,1016.00,16.40,18.60,3.20,22.00,214.00,13.70,11.70
2007-08-18T00:44:34,94,2007-08-18T00:35:00,1016.00,16.40,18.60,3.20,22.00,214.00,13.70,11.70
2007-08-18T00:45:34,94,2007-08-18T00:35:00,1016.00,16.40,18.60,3.20,22.00,214.00,13.70,11.70
2007-08-18T00:46:34,78,2007-08-18T00:35:00,1016.00,16.40,18.60,3.20,22.00,214.00,13.70,11.70
2007-08-18T00:47:34,94,2007-08-18T00:40:00,1016.00,16.30,18.60,3.30,22.00,214.00,14.20,12.20
2007-08-18T00:48:34,94,2007-08-18T00:40:00,1016.00,16.30,18.60,3.30,22.00,214.00,14.20,12.20
2007-08-18T00:49:34,93,2007-08-18T00:40:00,1016.00,16.30,18.60,3.30,22.00,214.00,14.20,12.20
2007-08-18T00:50:34,94,2007-08-18T00:40:00,1016.00,16.30,18.60,3.30,22.00,214.00,14.20,12.20
2007-08-18T00:51:34,94,2007-08-18T00:40:00,1016.00,16.30,18.60,3.30,22.00,214.00,14.20,12.20
2007-08-18T00:52:34,94,2007-08-18T00:45:00,1016.00,16.30,18.60,3.40,22.00,213.00,13.40,11.30
2007-08-18T00:53:34,94,2007-08-18T00:45:00,1016.00,16.30,18.60,3.40,22.00,213.00,13.40,11.30
2007-08-18T00:54:34,94,2007-08-18T00:45:00,1016.00,16.30,18.60,3.40,22.00,213.00,13.40,11.30
2007-08-18T00:55:34,93,2007-08-18T00:45:00,1016.00,16.30,18.60,3.40,22.00,213.00,13.40,11.30
2007-08-18T00:56:34,93,2007-08-18T00:45:00,1016.00,16.30,18.60,3.40,22.00,213.00,13.40,11.30
2007-08-18T00:57:34,94,2007-08-18T00:50:00,1016.00,16.30,18.60,3.40,22.00,214.00,13.70,11.70
2007-08-18T00:58:34,94,2007-08-18T00:50:00,1016.00,16.30,18.60,3.40,22.00,214.00,13.70,11.70
2007-08-18T00:59:34,94,2007-08-18T00:50:00,1016.00,16.30,18.60,3.40,22.00,214.00,13.70,11.70
2007-08-18T01:00:34,94,2007-08-18T00:50:00,1016.00,16.30,18.60,3.40,22.00,214.00,13.70,11.70
2007-08-18T01:01:34,94,2007-08-18T00:50:00,1016.00,16.30,18.60,3.40,22.00,214.00,13.70,11.70
2007-08-18T01:02:34,93,2007-08-18T00:50:00,1016.00,16.30,18.60,3.40,22.00,214.00,13.70,11.70
2007-08-18T01:03:34,93,2007-08-18T00:50:00,1016.00,16.30,18.60,3.40,22.00,214.00,13.70,11.70
2007-08-18T01:04:34,94,2007-08-18T00:50:00,1016.00,16.30,18.60,3.40,22.00,214.00,13.70,11.70
2007-08-18T01:05:34,109,2007-08-18T00:50:00,1016.00,16.30,18.60,3.40,22.00,214.00,13.70,11.70
2007-08-18T01:06:34,94,2007-08-18T00:50:00,1016.00,16.30,18.60,3.40,22.00,214.00,13.70,11.70
2007-08-18T01:07:34,94,2007-08-18T01:00:00,1016.00,16.30,18.60,3.60,22.00,212.00,12.40,10.20
2007-08-18T01:08:34,93,2007-08-18T01:00:00,1016.00,16.30,18.60,3.60,22.00,212.00,12.40,10.20
2007-08-18T01:09:34,94,2007-08-18T01:00:00,1016.00,16.30,18.60,3.60,22.00,212.00,12.40,10.20
2007-08-18T01:10:34,94,2007-08-18T01:00:00,1016.00,16.30,18.60,3.60,22.00,212.00,12.40,10.20
2007-08-18T01:11:34,109,2007-08-18T01:00:00,1016.00,16.30,18.60,3.60,22.00,212.00,12.40,10.20
2007-08-18T01:12:34,109,2007-08-18T01:10:00,1016.00,16.30,18.50,3.70,22.00,208.00,14.10,12.30
2007-08-18T01:13:34,93,2007-08-18T01:10:00,1016.00,16.30,18.50,3.70,22.00,208.00,14.10,12.30
2007-08-18T01:14:34,93,2007-08-18T01:10:00,1016.00,16.30,18.50,3.70,22.00,208.00,14.10,12.30
2007-08-18T01:15:34,94,2007-08-18T01:10:00,1016.00,16.30,18.50,3.70,22.00,208.00,14.10,12.30
2007-08-18T01:16:34,94,2007-08-18T01:10:00,1016.00,16.30,18.50,3.70,22.00,208.00,14.10,12.30
2007-08-18T01:17:34,109,2007-08-18T01:15:00,1016.00,16.30,18.50,3.80,22.00,209.00,13.20,11.30
2007-08-18T01:18:34,94,2007-08-18T01:15:00,1016.00,16.30,18.50,3.80,22.00,209.00,13.20,11.30
2007-08-18T01:19:34,94,2007-08-18T01:15:00,1016.00,16.30,18.50,3.80,22.00,209.00,13.20,11.30
2007-08-18T01:20:34,93,2007-08-18T01:15:00,1016.00,16.30,18.50,3.80,22.00,209.00,13.20,11.30
2007-08-18T01:21:34,93,2007-08-18T01:15:00,1016.00,16.30,18.50,3.80,22.00,209.00,13.20,11.30
2007-08-18T01:22:34,94,2007-08-18T01:15:00,1016.00,16.30,18.50,3.80,22.00,209.00,13.20,11.30
2007-08-18T01:23:34,94,2007-08-18T01:15:00,1016.00,16.30,18.50,3.80,22.00,209.00,13.20,11.30
2007-08-18T01:24:34,94,2007-08-18T01:15:00,1016.00,16.30,18.50,3.80,22.00,209.00,13.20,11.30
2007-08-18T01:25:34,94,2007-08-18T01:15:00,1016.00,16.30,18.50,3.80,22.00,209.00,13.20,11.30
2007-08-18T01:26:34,110,2007-08-18T01:15:00,1016.00,16.30,18.50,3.80,22.00,209.00,13.20,11.30
2007-08-18T01:27:34,93,2007-08-18T01:15:00,1016.00,16.30,18.50,3.80,22.00,209.00,13.20,11.30
2007-08-18T01:28:34,94,2007-08-18T01:15:00,1016.00,16.30,18.50,3.80,22.00,209.00,13.20,11.30
2007-08-18T01:29:34,94,2007-08-18T01:15:00,1016.00,16.30,18.50,3.80,22.00,209.00,13.20,11.30
2007-08-18T01:30:34,156,2007-08-18T01:15:00,1016.00,16.30,18.50,3.80,22.00,209.00,13.20,11.30
2007-08-18T01:31:34,110,2007-08-18T01:15:00,1016.00,16.30,18.50,3.80,22.00,209.00,13.20,11.30
2007-08-18T01:32:34,94,2007-08-18T01:25:00,1016.00,16.30,18.50,3.90,22.00,211.00,14.50,12.20
2007-08-18T01:33:34,109,2007-08-18T01:25:00,1016.00,16.30,18.50,3.90,22.00,211.00,14.50,12.20
2007-08-18T01:34:34,125,2007-08-18T01:25:00,1016.00,16.30,18.50,3.90,22.00,211.00,14.50,12.20
2007-08-18T01:35:34,125,2007-08-18T01:25:00,1016.00,16.30,18.50,3.90,22.00,211.00,14.50,12.20
2007-08-18T01:36:34,109,2007-08-18T01:25:00,1016.00,16.30,18.50,3.90,22.00,211.00,14.50,12.20
2007-08-18T01:37:34,110,2007-08-18T01:30:00,1015.00,16.40,18.50,4.00,22.00,209.00,13.30,11.30
2007-08-18T01:38:34,141,2007-08-18T01:30:00,1015.00,16.40,18.50,4.00,22.00,209.00,13.30,11.30
2007-08-18T01:39:34,125,2007-08-18T01:30:00,1015.00,16.40,18.50,4.00,22.00,209.00,13.30,11.30
2007-08-18T01:40:34,94,2007-08-18T01:30:00,1015.00,16.40,18.50,4.00,22.00,209.00,13.30,11.30
2007-08-18T01:41:34,125,2007-08-18T01:30:00,1015.00,16.40,18.50,4.00,22.00,209.00,13.30,11.30
2007-08-18T01:42:34,109,2007-08-18T01:40:00,1015.00,16.30,18.50,4.10,22.00,210.00,15.80,12.90
2007-08-18T01:43:34,109,2007-08-18T01:40:00,1015.00,16.30,18.50,4.10,22.00,210.00,15.80,12.90
2007-08-18T01:44:34,110,2007-08-18T01:40:00,1015.00,16.30,18.50,4.10,22.00,210.00,15.80,12.90
2007-08-18T01:45:34,110,2007-08-18T01:40:00,1015.00,16.30,18.50,4.10,22.00,210.00,15.80,12.90
2007-08-18T01:46:34,125,2007-08-18T01:40:00,1015.00,16.30,18.50,4.10,22.00,210.00,15.80,12.90
2007-08-18T01:47:34,125,2007-08-18T01:40:00,1015.00,16.30,18.50,4.10,22.00,210.00,15.80,12.90
2007-08-18T01:48:34,125,2007-08-18T01:40:00,1015.00,16.30,18.50,4.10,22.00,210.00,15.80,12.90
2007-08-18T01:49:34,125,2007-08-18T01:40:00,1015.00,16.30,18.50,4.10,22.00,210.00,15.80,12.90
2007-08-18T01:50:34,125,2007-08-18T01:40:00,1015.00,16.30,18.50,4.10,22.00,210.00,15.80,12.90
2007-08-18T01:51:34,157,2007-08-18T01:40:00,1015.00,16.30,18.50,4.10,22.00,210.00,15.80,12.90
2007-08-18T01:52:34,110,2007-08-18T01:45:00,1015.00,16.30,18.50,4.10,20.00,214.00,14.60,12.60
2007-08-18T01:53:34,125,2007-08-18T01:45:00,1015.00,16.30,18.50,4.10,20.00,214.00,14.60,12.60
2007-08-18T01:54:34,109,2007-08-18T01:45:00,1015.00,16.30,18.50,4.10,20.00,214.00,14.60,12.60
2007-08-18T01:55:34,109,2007-08-18T01:45:00,1015.00,16.30,18.50,4.10,20.00,214.00,14.60,12.60
2007-08-18T01:56:34,125,2007-08-18T01:45:00,1015.00,16.30,18.50,4.10,20.00,214.00,14.60,12.60
2007-08-18T01:57:34,125,2007-08-18T01:55:00,1015.00,16.40,18.50,4.20,22.00,211.00,14.60,12.60
2007-08-18T01:58:34,141,2007-08-18T01:55:00,1015.00,16.40,18.50,4.20,22.00,211.00,14.60,12.60
2007-08-18T01:59:34,141,2007-08-18T01:55:00,1015.00,16.40,18.50,4.20,22.00,211.00,14.60,12.60
2007-08-18T02:00:34,125,2007-08-18T01:55:00,1015.00,16.40,18.50,4.20,22.00,211.00,14.60,12.60
2007-08-18T02:01:34,94,2007-08-18T01:55:00,1015.00,16.40,18.50,4.20,22.00,211.00,14.60,12.60
2007-08-18T02:02:34,94,2007-08-18T01:55:00,1015.00,16.40,18.50,4.20,22.00,211.00,14.60,12.60
2007-08-18T02:03:34,313,2007-08-18T01:55:00,1015.00,16.40,18.50,4.20,22.00,211.00,14.60,12.60
2007-08-18T02:04:34,109,2007-08-18T01:55:00,1015.00,16.40,18.50,4.20,22.00,211.00,14.60,12.60
2007-08-18T02:05:34,94,2007-08-18T01:55:00,1015.00,16.40,18.50,4.20,22.00,211.00,14.60,12.60
2007-08-18T02:06:34,93,2007-08-18T01:55:00,1015.00,16.40,18.50,4.20,22.00,211.00,14.60,12.60
2007-08-18T02:07:34,94,2007-08-18T02:00:00,1015.00,16.30,18.50,4.30,22.00,216.00,14.50,12.20
2007-08-18T02:08:34,93,2007-08-18T02:00:00,1015.00,16.30,18.50,4.30,22.00,216.00,14.50,12.20
2007-08-18T02:09:34,109,2007-08-18T02:00:00,1015.00,16.30,18.50,4.30,22.00,216.00,14.50,12.20
2007-08-18T02:10:34,109,2007-08-18T02:00:00,1015.00,16.30,18.50,4.30,22.00,216.00,14.50,12.20
2007-08-18T02:11:34,94,2007-08-18T02:00:00,1015.00,16.30,18.50,4.30,22.00,216.00,14.50,12.20
2007-08-18T02:12:34,110,2007-08-18T02:05:00,1015.00,16.30,18.50,4.30,22.00,214.00,16.20,12.30
2007-08-18T02:13:34,94,2007-08-18T02:05:00,1015.00,16.30,18.50,4.30,22.00,214.00,16.20,12.30
2007-08-18T02:14:34,94,2007-08-18T02:05:00,1015.00,16.30,18.50,4.30,22.00,214.00,16.20,12.30
2007-08-18T02:15:34,93,2007-08-18T02:05:00,1015.00,16.30,18.50,4.30,22.00,214.00,16.20,12.30
2007-08-18T02:16:34,109,2007-08-18T02:05:00,1015.00,16.30,18.50,4.30,22.00,214.00,16.20,12.30
2007-08-18T02:17:34,109,2007-08-18T02:15:00,1015.00,16.30,18.40,4.30,22.00,214.00,14.60,11.30
2007-08-18T02:18:34,109,2007-08-18T02:15:00,1015.00,16.30,18.40,4.30,22.00,214.00,14.60,11.30
2007-08-18T02:19:34,110,2007-08-18T02:15:00,1015.00,16.30,18.40,4.30,22.00,214.00,14.60,11.30
